22 37
0 16.3729	48.2091
1 4.3518 50.8469
2 6.1399 46.2038
3 14.4423 50.0785
4 8.6842 50.1122
5 -3.7033 40.4167
6 2.351 48.8566
7 23.5808 37.9778
8 15.9644 45.8071
9 19.0936 47.4976
10  -6.2573 53.3416
11  34.8097 32.0714
12  9.19 45.4642
13  6.1296 49.6112
14  4.9407 52.3236
15  -73.94384 40.6698
16  16.8874 52.3963
17  -9.1363 38.7073
18  17.8742 59.3617
19  14.5148 46.0574
20  17.1297 48.1531
21  -0.1264 51.5086
0	2	2
0	6	8
0	15	8
1	3	6
1	6	8
1	17	9
1	12	2
1	16	4
1	11	5
2	20	2
2	10	7
2	9	5
2	13	2
3	15	3
4	15	8
4	7	3
5	6	4
5	18	3
6	20	8
6	18	6
6	16	2
7	8	6
8	14	2
8	15	2
9	16	8
9	11	6
9	10	4
9	15	8
10	16	2
11	21	6
12	13	5
12	18	3
12	16	9
14	19	8
17	20	6
19	21	8
20	17	5
