100 180
0 0 0
1 1 0
2 2 0
3 3 0
4 4 0
5 5 0
6 6 0
7 7 0
8 8 0
9 9 0
10 0 1
11 1 1
12 2 1
13 3 1
14 4 1
15 5 1
16 6 1
17 7 1
18 8 1
19 9 1
20 0 2
21 1 2
22 2 2
23 3 2
24 4 2
25 5 2
26 6 2
27 7 2
28 8 2
29 9 2
30 0 3
31 1 3
32 2 3
33 3 3
34 4 3
35 5 3
36 6 3
37 7 3
38 8 3
39 9 3
40 0 4
41 1 4
42 2 4
43 3 4
44 4 4
45 5 4
46 6 4
47 7 4
48 8 4
49 9 4
50 0 5
51 1 5
52 2 5
53 3 5
54 4 5
55 5 5
56 6 5
57 7 5
58 8 5
59 9 5
60 0 6
61 1 6
62 2 6
63 3 6
64 4 6
65 5 6
66 6 6
67 7 6
68 8 6
69 9 6
70 0 7
71 1 7
72 2 7
73 3 7
74 4 7
75 5 7
76 6 7
77 7 7
78 8 7
79 9 7
80 0 8
81 1 8
82 2 8
83 3 8
84 4 8
85 5 8
86 6 8
87 7 8
88 8 8
89 9 8
90 0 9
91 1 9
92 2 9
93 3 9
94 4 9
95 5 9
96 6 9
97 7 9
98 8 9
99 9 9
0 1 1
1 2 1
2 3 1
3 4 1
4 5 1
5 6 1
6 7 1
7 8 1
8 9 1
10 11 1
11 12 1
12 13 1
13 14 1
14 15 1
15 16 1
16 17 1
17 18 1
18 19 1
20 21 1
21 22 1
22 23 1
23 24 1
24 25 1
25 26 1
26 27 1
27 28 1
28 29 1
30 31 1
31 32 1
32 33 1
33 34 1
34 35 1
35 36 1
36 37 1
37 38 1
38 39 1
40 41 1
41 42 1
42 43 1
43 44 1
44 45 1
45 46 1
46 47 1
47 48 1
48 49 1
50 51 1
51 52 1
52 53 1
53 54 1
54 55 1
55 56 1
56 57 1
57 58 1
58 59 1
60 61 1
61 62 1
62 63 1
63 64 1
64 65 1
65 66 1
66 67 1
67 68 1
68 69 1
70 71 1
71 72 1
72 73 1
73 74 1
74 75 1
75 76 1
76 77 1
77 78 1
78 79 1
80 81 1
81 82 1
82 83 1
83 84 1
84 85 1
85 86 1
86 87 1
87 88 1
88 89 1
90 91 1
91 92 1
92 93 1
93 94 1
94 95 1
95 96 1
96 97 1
97 98 1
98 99 1
0 10 1
1 11 1
2 12 1
3 13 1
4 14 1
5 15 1
6 16 1
7 17 1
8 18 1
9 19 1
10 20 1
11 21 1
12 22 1
13 23 1
14 24 1
15 25 1
16 26 1
17 27 1
18 28 1
19 29 1
20 30 1
21 31 1
22 32 1
23 33 1
24 34 1
25 35 1
26 36 1
27 37 1
28 38 1
29 39 1
30 40 1
31 41 1
32 42 1
33 43 1
34 44 1
35 45 1
36 46 1
37 47 1
38 48 1
39 49 1
40 50 1
41 51 1
42 52 1
43 53 1
44 54 1
45 55 1
46 56 1
47 57 1
48 58 1
49 59 1
50 60 1
51 61 1
52 62 1
53 63 1
54 64 1
55 65 1
56 66 1
57 67 1
58 68 1
59 69 1
60 70 1
61 71 1
62 72 1
63 73 1
64 74 1
65 75 1
66 76 1
67 77 1
68 78 1
69 79 1
70 80 1
71 81 1
72 82 1
73 83 1
74 84 1
75 85 1
76 86 1
77 87 1
78 88 1
79 89 1
80 90 1
81 91 1
82 92 1
83 93 1
84 94 1
85 95 1
86 96 1
87 97 1
88 98 1
89 99 1
