25 56
0 106 50
1 109 50
2 93 49
3 99 49
4 102 56
5 96 57
6 105 50
7 103 51
8 94 54
9 90 52
10 90 60
11 85 60
12 82 60
13 84 58
14 99 62
15 76 50
16 86 51
17 58 53
18 59 52
19 58 45
20 58 43
21 69 50
22 62 56
23 63 58
24 68 57
0 1 2
0 2 6
0 6 0
0 7 1
1 6 2
2 3 3
2 6 5
2 9 3
2 15 8
2 16 3
2 17 15
2 20 14
2 21 10
3 6 3
3 8  4
3 9 4
4 5 3
4 7 2
5 7 4
5 8 2
5 9 4
5 13 6
5 14 4
6 7 1
8 9 2
8 13 5
9 13 4
9 16 2
9 22 13
10 11 6
10 13 4
10 14 4
11 12 2
11 13 2
11 14 7
12 13 2
12 24 7
13 15 5
13 16 4
13 17 12
13 22 10 
15 16 4
15 17 8
15 21 3
16 17 12
17 18 1
17 19 4
17 20 4
17 21 5
17 22 3
18 21 4
19 20 1
21 22 5
22 23 1
22 24 3
23 24 2

