36 53
0 110 65
1 103 65
2 106 61
3 107 64
4 110 70
5 112 67
6 108 67
7 113 67
8 114 68
9 118 66
10 114 52
11 117 51
12 121 51
13 123 48
14 126 44
15 125 46
16 117 59
17 116 50
18 115 62
19 114 60
20 112 62
21 119 64
22 120 54
23 119 58
24 121 59
25 120 60
26 113 56
27 117 66
28 88 48
29 91 60
30 102 53
31 104 54
32 109 56
33 106 52
34 111 49
35 112 52
0 6 2
0 7 2
1 27 7
1 3 3
2 19 4
2 27 6
3 27 5
4 8 2
4 7 2
5 17 9
6 7 3
7 8 1
7 9 3
7 19 4
7 20 3
7 24 6
9 21 1
10 22 3
10 23 4
10 11 1
11 17 1
12 13 2
13 14 3
13 15 1
13 17 3
13 24 6
16 19 2
16 23 1
17 29 13
17 34 2
17 35 2
17 18 6
17 19 5
17 23 5
17 32 5
17 31 3
18 34 7
19 27 3
19 20 1
19 23 2
19 31 2
21 24 3
22 23 2
23 24 1
24 25 1
27 32 6
28 32 11
28 33 8
30 31 1
30 32 4
31 32 3
32 33 3
34 35 2
