27 38
0 14 40
1 7 43
2 2 41
3 13 37
4 -9 51
5 17 42
6 12 48
7 -4 50
8 19 43
9 14 42
10 26 46
11 23 47
12 17 45
13 15 44
14 35 58
15 33 55
16 22 52
17 4 39
18 6 40
19 -6 37
20 0 39
21 18 31
22 25 31
23 24 33
24 27 36
25 17 38
26 5 38
0 25 2
0 3 1
0 5 1
1 9 3
1 2 2
1 6 3
2 3 4
2 7 5
2 17 1
2 18 1
2 20 2
3 6 6
3 9 2
3 16 9
3 19 7
3 21 4
3 26 3
4 7 3
5 8 1
6 7 7
8 9 2
8 10 3
8 13 2
9 12 2
9 13 1
11 16 3
14 20 18
15 16 5
16 20 11
17 18 1
17 26 1
19 20 2
20 21 7
20 26 2
21 22 2
21 23 2
21 24 4
21 25 4
